Product_Category,Total_Item
bed_bath_table,11115
health_beauty,9670
sports_leisure,8641
furniture_decor,8334
computers_accessories,7827
housewares,6964
watches_gifts,5991
telephony,4545
garden_tools,4347
auto,4235
toys,4117
cool_stuff,3796
perfumery,3419
baby,3064
electronics,2767
stationery,2517
fashion_bags_accessories,2031
pet_shop,1947
office_furniture,1691
consoles_games,1137
luggage_accessories,1092
construction_tools_construction,929
home_appliances,771
musical_instruments,680
small_appliances,679
home_construction,604
books_general_interest,553
food,510
furniture_living_room,503
