product_category_name_english,count
bed_bath_table,3029
sports_leisure,2867
furniture_decor,2657
health_beauty,2444
housewares,2335
auto,1900
computers_accessories,1639
toys,1411
watches_gifts,1329
telephony,1134
baby,918
perfumery,868
fashion_bags_accessories,849
stationery,849
cool_stuff,789
garden_tools,753
pet_shop,719
electronics,517
construction_tools_construction,400
home_appliances,370
luggage_accessories,349
consoles_games,317
office_furniture,309
musical_instruments,289
small_appliances,231
home_construction,225
books_general_interest,216
fashion_shoes,173
furniture_living_room,156
air_conditioning,124
books_technical,123
fixed_telephony,116
home_confort,111
market_place,104
food_drink,104
fashion_male_clothing,95
kitchen_dining_laundry_garden_furniture,94
signaling_and_security,93
construction_tools_safety,91
home_appliances_2,90
costruction_tools_garden,88
food,82
drinks,81
construction_tools_lights,78
agro_industry_and_commerce,74
industry_commerce_and_business,68
christmas_supplies,65
audio,58
art,55
fashion_underwear_beach,53
dvds_blu_ray,48
furniture_bedroom,45
costruction_tools_tools,39
books_imported,31
small_appliances_home_oven_and_coffee,31
computers,30
cine_photo,28
fashio_female_clothing,27
music,27
party_supplies,26
arts_and_craftmanship,19
fashion_sport,19
flowers,14
diapers_and_hygiene,12
la_cuisine,10
furniture_mattress_and_upholstery,10
Unknown,10
tablets_printing_image,9
fashion_childrens_clothes,5
home_comfort_2,5
Unknown,3
security_and_services,2
cds_dvds_musicals,1
